reviewId,content
86f1a2fc-ecf4-487f-9db6-cb9535671196,best
c3e70694-cec1-4c08-b715-c822990ce59f,Semoga Suka Ya Gopay
10f42b43-f450-45ba-a5aa-ccdd65827386,Sangat membantu
323d53f3-e8ee-43b0-a366-e3de585a64d9,"Aplikasi yang sangat baik, sangat membantu utk transaksi keuangan dan transfer gratis ke bank yang berbeda. Terima kasih GoPay. Semoga sukses slalu dan menjadi berkah. Aamiiin"
551b4689-00c6-471f-a33a-a144106b057b,mantap 👍
03ce7e2e-15b1-4f04-8a10-b6498792ed89,Puas
4e3e9d5e-c7a2-4b94-9e09-38b05d2e735d,Bagus
3dc778ab-0ab5-4543-a83f-97843536a80a,Mudah untuk tf kemanapun 😍😍😍
f09584fc-aac2-4260-88ab-2c3daefe0e5d,"Bagus aplikasi nya,membantuu"
52af16e7-a15e-406b-a1d5-7caab78c6e13,Membantu dan aman
b2099f73-6764-42a2-a200-9c4a88d6bcc6,mantap mempermudah transaksi
11232d74-b22e-414b-8d6d-d5daca886ea2,jadiin qrisnya tuh shortcut di home hp lu jd bener bener one click apps.
831804b9-2a70-4514-8cef-27f9deb0fa4a,Bagus aplikasinya
8e48080a-df53-47f5-823b-b1c6b86fa360,mudah bertransaksi
da0d4326-b62a-4aac-84c9-fd37db3c5b07,mantap
1394a266-3bb4-4ccd-9a3f-106058b67ee4,Sangat membantu ..cepat prosesnya terimakasih
c4f02699-5981-44db-8778-30d5aa4d3416,"Aplikasinya user friendly banget, fiturnya lengkap dan ga ribet, memudahkan untuk transfer dan prosesnya ga lama suka banget sama apk nya 🤍🤍"
ddb350de-1fe7-472f-9c89-15c250729b4e,Mantap
e50126e0-eede-44dd-b8d1-483cfdcd3fb5,Mantap
20e66612-8874-4ce8-9349-74bd92aa6730,ok
5815c92d-05b1-4a5a-9621-75411fe9e6fd,Mantap bgt
880c1083-1f69-46bc-9506-d05577ac7591,Wahh mantap nih aplikasi selamat mencoba
38f3d1cb-4e4a-42c4-aa0b-d45f88b95165,Lebih gampang
e5c55438-da21-42ee-b70a-8a4b0c9e5d10,Sesuai harapan
6a6922bf-5036-4c78-a359-0e91131b59e2,Mudah transaksinya
9a8e9e87-c652-422d-bfab-c919d2330673,Mntap
98f31928-34c5-4ada-8442-4936a1449560,Joss simple
99d026ad-4af8-4a07-b214-86455691dc38,Bagus dan amanah
1a962c5d-d5ed-4030-85eb-16514586e762,Baru memakai
58a36030-5a4c-4eef-8b5e-e977f4d5bf8f,Sangat memuaskan
17bbf9df-7319-4ecd-9453-0e676d7bafcb,Good is very good
6107a2b3-2d0c-4467-8fce-e78c45791572,Bagus
46bd5f39-0f16-466e-aae3-48be87f433ad,Apk mantap
acb49c23-6287-4e05-b108-d28b8528e480,Membantu sekali
afea0448-3214-4df7-81f7-384431a0989f,Mantap
5b2e6a35-cad5-45f0-bb06-b100fbb2a248,terima
e8a73295-1935-43c0-9c2b-f359eca67bc6,"Sangat membantuku, mantap Gopay 👍"
7d7cbaf0-23f6-4694-a009-8ec659840dc9,Mantaaap skali
241c04c0-ff15-4674-8930-a6dd37242b1a,Jangan kasih notifikasilah kalau tidak mau kasih pinjaman
6b11e378-73ba-4a4d-9175-e8e87b63fa90,Mantab
b685dc88-3d52-4138-a1bd-e2682f1e1fc8,Saya baru bergabung disini semoga go pay dapat di percaya
d9fd24e7-6039-4900-b833-069490cccf8a,Oke
fdd8a5e4-8124-480e-9457-8ab7d8a09c79,"Baru permulaan ,kalau bagus kasi bintang 5"
d2b88e52-95ba-4606-bb12-c37615c22c38,keren
5fa857b4-1f0a-4406-af40-ba162f0b90ec,Makin ok
3caeb25e-e57c-4ee1-be94-c0f87236ef27,Aplikasi nya bagus
9ee08e9d-0e54-48b1-95f6-321060a2a3a8,Untuk belanja online si tokped saya sell dpt discount thx gopay.
36842d10-1dd3-48f6-849d-94d8be4b1e3c,Sejauh ini aman aman saja
f906e1e9-ba3b-49ec-bf7a-fda0ca26edf4,Lumayan
e393c994-0026-4f18-bd9c-cad5ace348a0,aplikasinya bagus .tpi knpa ea ko saya bayar lewat Qiris uangnya dah g ada setatus pembayaran g muncul uangnya ilang g tau kmna..tolong d perbaikin bosku
